,price,accommodates,review_scores_location,host_is_superhost_t,host_has_profile_pic_t,host_identity_verified_t,instant_bookable_t,bathroom_type_shared,bathrooms,host_response_rate,distance_from_city_center_km
503,1226.0,4,4.79,1,1,1,1,0,1.0,1.0,1.3343162551843828
504,1300.0,4,4.82,1,1,1,1,0,1.5,1.0,1.336862609848132
507,1491.0,6,4.96,0,1,1,0,0,1.5,1.0,1.6357359949807737
509,2164.0,2,4.98,1,1,1,1,1,1.0,1.0,1.4703558145510334
510,3853.0,6,4.91,0,1,1,1,0,1.5,1.0,2.1943658129164993
514,2143.0,4,4.81,1,1,1,1,0,1.0,1.0,2.9966026333600437
518,1307.0,2,4.96,0,1,1,0,1,1.0,1.0,1.664998225234729
519,1200.0,4,4.75,0,1,1,0,0,1.0,1.0,2.835839306411835
520,1832.0,2,4.95,1,1,1,0,0,1.0,0.98,1.849551390677752
522,1271.0,2,4.76,1,1,1,1,0,1.0,1.0,1.5127955192324594
523,2084.0,2,4.95,0,1,1,1,0,1.0,1.0,1.8258693491967763
524,4025.0,4,4.93,1,1,1,1,0,1.5,1.0,1.0885518235428322
